,text,gpt-3.5-turbo,gpt-4,gpt-5
10,"@Kaktuzz77 @Hussain80794884 @nytimes No, no, Russia has an atomic bomb, it is dangerousbeaming face with smiling eyes","Yes, because the text mentions Russia having an atomic bomb, which could potentially impose harm or other costs on the author of the tweet or on others.","Yes, because the text mentions the presence of an atomic bomb in Russia, which could imply a potential harm or threat.","Yes, because it explicitly mentions Russia having an atomic bomb and calls it dangerous, describing a potential threat that could cause harm to others."
11,"The Big One is approaching, and our venue has had some lovely renovations! Featuring a larger space, a pool table and a well stocked bar perfect for our event!  Make sure to sign up asap, before you miss your chance to register jack-o-lanternjack-o-lantern  https--//t.co/5vT5cBIRpv https--//t.co/a8JdiYnL5J","No, because the text describes an event invitation and renovations to a venue, with no harm or significant cost to the author of the tweet or others.","No, because the text is advertising an event in a renovated venue. It does not describe any harm or significant cost to the author of the tweet or others.","No, because the tweet is promoting an event and venue upgrades; it doesn’t describe any danger, injury, or significant risk. The only implication is registering early, which is a benign inconvenience if missed, not a hazard."
12,"""Company debt"" I wish","No, this text does not describe a hazard. It is a simple statement expressing a wish for something.","No, because the text does not describe a situation causing harm or cost to the author of the tweet or others. It seems to be more of a sarcastic or humorous comment.","Yes, because it implies the author has personal debt, which is a financial burden/cost and thus a hazard."
13,@JIMIN_RECORD13 @BTS_twt 지민 춤신춤왕   우리지민  JIMIN JIMIN   PROUD OF YOU JIMIN  WE LOVE YOU JIMIN    The only song to bring me out of my current despair is #WithYou by #JIMIN #BTSJIMIN of #BTS   (@BTS_twt) and Sungwoon,"No, because the text does not describe a hazard that could impose harm or other costs on the author of the tweet or on others.","No, because the text is expressing admiration and love for a celebrity. No harm or significant cost to the author of the tweet or others is indicated.","Yes, because it mentions the author’s “current despair,” indicating emotional distress, which is a form of harm to the author."
14,@RepMaryMiller More guns means more shooting. More shooting leads to more death. It's a simple fact.,"Yes, because the text implies that more guns could lead to more shootings and deaths, which could harm individuals or society as a whole.","Yes, because the tweet implies that increased availability of guns may lead to a rise in shooting incidents and consequently, loss of life. This is a potential harm or cost to anyone involved in such incidents.","Yes, because it explicitly describes a risk scenario where an increase in guns leads to more shootings and deaths, which are harms to people."
15,"@Ralph_Hapschatt In hindsight, probably should have. But it would mean having a second tank set up and causing more stress by moving them more than needed.  Suppose it can't be helped but it's bloody annoying","No, because the text describes a frustrating situation but does not imply harm or significant cost to the author of the tweet or others.","Yes, because it indicates a scenario that could potentially cause stress and harm to the involved parties (presumably fish or other small creatures) by moving them more frequently than required.","Yes, because it discusses that moving them to a second tank would cause stress (a form of harm) to the animals, and setting up an additional tank implies added cost/effort."
16,"@TawkVent @TheDemocrats @BillPascrell @MikieSherrill @Malinowski @GOP @BillyPrempeh @DeGrootCongress @KeanForCongress @njdotcom @starledger @nj1015 @BillSpadea @NJGOP Did some follow up apparently the cop died of a stroke in hospital while being treated after being assaulted by the crowd. I guess we would need a panel of experts to decide if any of the abuse could lead to a stroke , but I’ll concede my wording could be a bit off.","Yes, because the text describes a harm to the cop who died of a stroke after being assaulted by a crowd, as well as potential harm to others who may be at risk of similar incidents.","Yes, because the tweet describes a situation where a cop died after being assaulted by a crowd. This situation can potentially harm other individuals (like the cops and others involved in similar incidents).","Yes, because it describes an assault on a police officer that led to hospitalization and a fatal stroke, indicating serious harm and risk."
17,"check box with checkBoys experience body dissatisfaction but often have a difficult time articulating concerns check box with checkConversations about body image have been feminized, leaving boys ashamed to ask for help check box with checkIt's important that adults normalize body image discussion among boys https--//t.co/O2ZVa9NUfV","Yes, because the text describes potential harm to boys who may be experiencing body dissatisfaction and struggling to articulate their concerns. Additionally, the text suggests that boys may feel ashamed to ask for help due to the feminization of body image conversations. This could impose emotional harm or costs on the individuals involved.","Yes, because the text describes potential psychological harm to boys due to body dissatisfaction and lack of conversation about body image. It indicates that these issues may lead to feelings of shame and a reluctance to seek help.","Yes, because it describes boys experiencing body dissatisfaction and shame about seeking help—mental health risks that can impose harm on them."
18,"@RachReally I don't think it is possible to continue with that level of humiliation. Was she not warned by advisers about going against orthodoxy. The damage done is enormous internationally, domestically and to ordinary people","Yes, because the text describes harm in the form of humiliation and damage internationally, domestically, and to ordinary people.","Yes, because the text describes potential harm to the reputation of an individual and potentially negative effects on ordinary people.","Yes, because it describes significant “damage” and harm affecting people domestically, internationally, and “ordinary people,” which constitutes costs or harm to others."
19,"Rich countries must urgently help poor nations hit by climate crisis, says V20  https--//t.co/yYaDodv86o","Yes, because the text describes a potential harm or cost to poor nations hit by the climate crisis, as well as potentially to the author of the tweet and others.","Yes, because the text describes the harm from the climate crisis on poor nations, causing a significant cost for them.","Yes, because it references the climate crisis impacting poor nations, which implies harm and significant costs to those populations."
20,"We should be proud of such IAS officers who are not afraid to speak the truth in front of everyone!!  We proud of Madam ""Radha Raturi"" https--//t.co/QYZ7ffvd21","No, because the text is expressing praise and admiration for an IAS officer and does not describe any harm or cost to the author of the tweet or others.","No, because the text describes a positive sentiment towards an individual with no harm or significant cost implied to the author of the tweet nor others.","No, because the text is a commendation of an IAS officer and does not mention any danger, harm, threat, or potential cost to anyone."
21,"@AndreaPunksmom @Dhs64dhs @RollingStone Read the autopsy report. The cause of death was a heart attack. Yes, the compression to his neck was contributing factor but so are drugs. It was fatal amount of fentanyl and a trace amount of meth. He also had covid. https--//t.co/YLE13i46Qd","Yes, because the tweet discusses a sensitive topic related to the cause of death of an individual and could potentially cause harm or distress to the family or friends of the deceased.","Yes, because the text describes a harmful event, specifically the cause of death of an individual involving physical damage, drug abuse, and a disease (covid).","Yes, because it describes a death and contributing factors (neck compression, drug toxicity, and illness) that pose serious harm to individuals."
22,Reminder KTFLive-- The Consequences of Being Politically Incorrect https--//t.co/h3nfh8F5d5 https--//t.co/AFxIsUJJi2,"No, because the text does not describe a hazard that could impose harm or other costs on the author of the tweet or on others. It is a reminder about the consequences of being politically incorrect.","No, because the text does not explicitly describe a harmful event or potential cost to the author of the tweet or others. It merely mentions a topic of discussion, being politically incorrect, without specifying any hazards or costs associated with it.","No, because it’s just a promotional reminder linking to content titled “The Consequences of Being Politically Incorrect” and doesn’t describe any specific harmful event, risk, or cost to the author or others."
23,Verne Troyer Cause Of Death https--//t.co/O3B2x5wHDQ,"Yes, because the text describes a harm or other cost on the author of the tweet or on others.","No, because the text is just providing information about the cause of death for Verne Troyer and does not indicate a direct harm or cost to the author of the tweet or others.","No, because it simply links to a news item about a celebrity’s cause of death and does not describe any ongoing risk, dangerous condition, or action that could impose harm or costs on the author or others."
24,@METAPCs @Cirus_AKA_Widow had to quit streaming all together cause the pos died,"Yes, because the text describes harm or loss (death) to someone mentioned in the tweet.","No, because the text describes a situation where someone had to quit streaming due to a problem with equipment but it does not pose a risk of harm or significant cost to the author of the tweet or others.","Yes, because it describes equipment failure (“pos died”) that forced someone to quit streaming, which imposes a significant cost/harm (loss of activity/income)."
25,@tinkertom2021 @modmothernature @Garrett_Archer @PogueMoran @noodlesfordogs @icbouldertoo We don't block; we're not afraid to be challenged.  We're also not afraid to tell accounts when they are not responding in good faith.,"No, because the text does not describe a hazard that could impose harm or other costs on the author of the tweet or on others.","No, because the text does not describe a situation or event that could impose harm or other costs on the author of the tweet or others.","No, because it’s just a statement about engagement/moderation practices and doesn’t describe any danger, harm, or significant risk to anyone."
26,"@RollingStone That's a bluff. Common law is that the dead can't be defamed  Maybe if Floyd had an actively producing estate (like M. Jackson's royalties) there MIGHT be a chance IF you get past West's 1A rights, but even then they'd have to prove that what he said caused damages to that estate","Yes, because the text describes potential legal harm or costs to the author of the tweet or others.","No, because the text is discussing legal possibilities and potential outcomes, not imposing harm or significant cost to the author of the tweet or others.","Yes, because it discusses potential damages to an estate from allegedly defamatory statements, which constitutes a possible financial/reputational harm."
27,@PlayOmega @discord so cuteeeeeeeeeeeeee,"No, because the text does not describe a harm or other cost on the author of the tweet or on others.","No, because the text is complimenting something as being cute, which doesn't pose a harm or significant cost to the author of the tweet or others.","No, because the tweet is simply an expression of admiration (“so cute”) and does not mention any risk, harm, or costly outcome to anyone."
28,"""The beauty of yoga is that it addresses multiple factors that underlie heart disease,"" says yoga researcher and neuroscientist Dr. Sat Bir Singh Khalsa, assistant professor of medicine at Harvard Medical School.    https--//t.co/TrjSOaq9IZ https--//t.co/jhyam6PX7m","No, because the text describes a positive and beneficial activity with no harm or significant cost to the author of the tweet or others.","No, because the text describes a positive activity (yoga) and its benefits without potential harm or cost to the author of the tweet or others.","Yes, because it references heart disease, a harmful medical condition that poses health risks to people."
29,"@SteelersEric412 @YukonDenali7 @Just_Fargo @theeuntethered @lmauricecpr If Chauvin had spent those 10 minutes trying to get an ambulance instead of kneeling on his neck, he would still be a cop, even if Floyd had died of an overdose. Or he could’ve administered narcan. Or he could’ve attempted to get him to the ER.","Yes, because the text describes a harm or other cost on the author of the tweet or on others.","Yes, because the text describes a situation where lack of proper actions could lead to potential harm or death.","Yes, because it describes a harmful, life-threatening situation—kneeling on a person’s neck and failing to provide timely medical care—posing severe risk of injury or death."
30,We tried I just got the clear shower curtain joint and last time you dam near died https--//t.co/ss0VnxT2R5,"No, because the text does not describe a hazard that could impose harm or other costs on the author of the tweet or on others.","Yes, because the text implies that someone almost got harmed (""dam near died"") in a situation involving a shower curtain.","Yes, because it references a previous incident where someone “damn near died,” indicating a dangerous situation and risk of harm."
31,"#Russia Bombards #Ukraine With Iranian ‘Kamikaze #Drones’. Russia’s airstrikes on Ukraine apparently have entered a new phase, with heavy attacks today by Iranian-made Shahed-136 drones. https--//t.co/dzVMtpDf3I  #UkraineWar #RussiaAttack","Yes, because the text describes a harm or other cost on the author of the tweet or on others.","Yes, because the text describes a current event of violence and potential harm to others in Ukraine due to drone attacks.","Yes, because it describes ongoing military airstrikes using “kamikaze” drones, which pose clear risks of death, injury, and destruction to people and infrastructure."
32,@elonmusk @kadubai11 @spideycyp_155 If Russia withdraws from Ukraine then the rest of their Army avoids destruction and there will be no war in Ukraine or with NATO. How do you not get that? Blinded by Political agenda more like.,"Yes, because the text describes a potential impact on the safety and well-being of individuals in the context of war and conflict.","Yes, because the text describes a potential war which can cause immense harm to people and countries involved.","Yes, because it discusses the potential destruction of Russia’s army and the prospect of war with Ukraine/NATO—events that would impose significant harm and costs on people."
33,"In partnership with Matthew 25-- Ministries and Capitol Hill volunteers, yesterday we packed 1,400 product-filled relief kits for disaster-struck communities to restore a sense of normalcy to those in crisis. As part of our annual Delivering... #PGemployee https--//t.co/lt4R2Bo1d2","No, because this text describes an act of charity and humanitarian aid that does not impose harm or cost on the author of the tweet or on others.","No, because while the text acknowledges a scenario of disaster-struck communities, the situation being described is the organization's effort to help. The tweet does not indicate any potential harm or significant cost to the author or others.","Yes, because it references “disaster-struck communities” and “those in crisis,” indicating natural disasters/crises that impose harm and costs on affected people. The relief effort is a response to that hazard."
34,ASUU strike-- Lecturers have to deal with the consequences of maintaining pupils in the house – – Ishaku https--//t.co/ATjDr8bpa2,"Yes, because the text describes a harm or other cost on the author of the tweet or on others. The strike mentioned could have negative consequences for both lecturers and students.","Yes, because the text describes a potential harm where pupils and lecturers are affected by the strike, implying a disruption of education which could impose costs on them.","Yes, because it describes harmful consequences of a strike—lecturers dealing with the costs/impacts of keeping students at home—which implies burdens and disruption to others."
35,"and i’m used to it because even people in my extended family feel that way. they come to me for info about everyone instead of visiting, as if they’re afraid to “catch the poor” it’s really fucking disgusting and I hate it. beaming face with smiling eyes","No, this tweet does not describe a hazard. It describes a social issue or personal frustration, but it does not mention any harm or cost imposed on the author of the tweet or others.","Yes, because the text describes emotional harm or distress experienced by the author of the tweet due to the behavior of their extended family.","Yes, because it describes social exclusion and stigma from family, which imposes emotional harm and social costs on the author."
36,@tweetberry4 @syubjim Yoongi took the narrow and difficult path,"No, because the text does not describe a hazard that could impose harm or other costs on the author of the tweet or on others.","No, this tweet is a metaphorical statement and does not indicate any direct harm or significant cost to the author of the tweet or others.","No, because it’s a metaphorical comment about someone’s challenging choices and does not describe any concrete danger, injury, or specific cost to anyone."
37,"“I am deeply concerned that the war in Tigray continues to escalate dangerously, deepening the humanitarian crisis in Tigray” @RepGregoryMeeks said.  #TigrayUnderAttack  #StopWarOnTigray @HouseForeig @Ni","Yes, because the text describes a harm or other cost on the author of the tweet or on others.","Yes, because the text describes a war which is a harmful event that imposes a cost on the people involved.","Yes, because it describes an escalating war and a worsening humanitarian crisis in Tigray, which clearly pose harm and significant risks to people in the region."
38,"@hmrpoet @bvtucci @mwphnh @ByronYork ... for him is a devoted fan.  It just isn't so.  Not even close.  The biggest mistake Republicans can make is to think they're running against the catastrophe known as Biden, and to prepare that way.  If they don't pick a candidate who can beat people like Manchin, ...","No, because the text does not describe a hazard that could impose harm or other costs on the author of the tweet or on others.","No, because the text is a political discussion and does not describe a harmful event or significant cost to the author of the tweet or others.","Yes, because it warns of a potential cost: Republicans making a strategic mistake in candidate selection/framing and thereby losing to opponents like Manchin, which constitutes a risk/hazard of political loss."
39,"@RighteousFruity @HoshizoraOW No, just stop throwing your damage orb during team fights you fucking idiot.","Yes, because the text contains aggressive language and insults that could potentially harm the individuals mentioned.","Yes, this text describes verbal aggression which can be considered a psychological harm to the person that the tweet is addressing.","No, because the tweet is just an insult combined with gameplay advice and does not describe any risk, danger, or event that could impose harm or significant costs on anyone."
40,"@SoozleMcDoozle Thinking of all of you, wishing you comfort and support in this difficult moment.","No, because the text expresses empathy and well wishes with no harm or significant cost to the author of the tweet or others.","No, because the text offers comfort and support, it does not describe a harm or other cost on the author of the tweet or on others.","No, because it’s an expression of sympathy and support and does not mention any harmful event, risk, or cost."
41,@robcarlson20 @KerryOLeary4 @nicher66 @CalvinE43701301 @ThereseOSulliv2 @Pepevineyard @gopisdirty @bombaybadboy @Aimhighffw @TreatHunterDog @TrumpsGuiIty @JackWhoElse @Saggit95 @LadyOfTheOcean1 @InRainbows182 @kennethGalla2 @Michel757188561 @scary_brock @fallingtree1745 @AnnoyedTaurus @gmarshall1965 @SpacesVector @LivesSawyer @antiLibmob @TheAngryPundit @dorthy_fromoz @Gigi69030829 @yvonnecar20 @FrankPLP2022 @SandraGray9 @fireball_lady @ernestleenot @T_WJackson @NoBulls55224206 @MarcGriff89 @ProGunOne1776 @S51781902 @ambassadorgems @pamg8tr @ChrissyCushman @MarvinRJeffcoat @TroyQui55914716 @LettuceLollie @GigiGreene63 @David45189771 @AmericanSuzieQ @Synyster63 @Jeanelynn BIDENS “ Border Chief” keeps falling asleep during talks about the Border invasión. Because he knows Biden HARRIS don’t care. https--//t.co/AruQXl2Ukj,"Yes, because the text describes a harm or other cost on the author of the tweet or on others. The tweet discusses a border invasion and criticizes the actions (or lack of action) of certain political figures, which could potentially lead to controversy or negative consequences for those individuals.","Yes, because the text implies the potential for harm or cost to others due to a lack of attention and concern from leaders about a situation (""Border invasion"").","Yes, because it alleges a “border invasion,” which implies a threat that could cause harm or costs to the public, and suggests negligence by officials that could exacerbate such risks."
42,This world full of so many followers…Durk said “welcome to death row” now everybody in death row contracts w somebody …yal some lame ass unoriginal ass group of humans lmao,"No, this tweet does not describe a hazard because it is expressing an opinion about the behavior of others and does not suggest any harm or cost to the author of the tweet or others.","No, because the text does not describe a situation that imposes harm or significant cost to the author of the tweet or others. The author is merely expressing an opinion about people's behavior.","Yes, because it implies people are entering “death row” contracts—slang for highly exploitative or harmful deals—which could impose significant financial or legal costs on those individuals."
43,This dangerous attack on our democracy must not stand. https--//t.co/Z7OcaDJYnp,"Yes, the tweet describes a hazard as it mentions a dangerous attack on democracy, which could impose harm or other costs on the author of the tweet or on others.","Yes, because the text refers to a ""dangerous attack on our democracy,"" which implies a threat or harm to the individual and/or the broader community.","Yes, because it explicitly describes a “dangerous attack on our democracy,” indicating a threat that could harm society and democratic institutions."
44,@flipkartsupport 124 BC what is closely following up . To schedule a technician is taking more than 8 days . Sucks!! Seems it is more difficult than rocket science.Don’t make fool .#flipkartscam #FlipkartChorHai   #flipkartscam #FlipkartChorHai  #flipkartscam #FlipkartChorHai  #flipkartscam,"Yes, because the text describes a harm or other cost on the author of the tweet or on others. The delay in scheduling a technician for 124 BC is causing frustration and inconvenience, which could be considered a hazard.","No, because the text describes a dissatisfaction with customer service, but does not suggest any harm or significant cost to the author of the tweet or others.","Yes, because it reports a significant service delay (>8 days) and alleges a scam, implying potential harm or costs to the author (inconvenience, possible financial loss)."
45,"@elonmusk @kadubai11 @spideycyp_155 This worlds runs on greed. You know this. Putin nor any of his oligarchs want to lose their lives and their everything, over land they stole. There will be no nuclear war, bc that's a death sentence to all their lifestyles, their life.","Yes, because the text discusses the potential for a nuclear war which could impose harm or other costs on the author of the tweet or on others.","Yes, because the text describes the possibility of a nuclear war which would result in harm and costs to many, if not all, people.","Yes, because it references nuclear war and describes it as a “death sentence,” implying severe harm to people’s lives."
46,@bujeeboo Johnson's collapse will disproportionately help Kotek.,"Yes, because the text describes a harm or other cost on the author of the tweet or on others.","No, because the text describes a political event and does not imply any harm or cost to the author of the tweet or others.","No, because it appears to be a political comment about a candidate’s campaign “collapse” benefiting another candidate, using “collapse” metaphorically. It does not describe a concrete risk of harm or other significant cost to people."
47,@BiryomumaishoB To some people the ebola chaos is about the money! God save us this curse of a disease,"Yes, because the text describes a hazard of a deadly disease (Ebola) that could impose harm on the author of the tweet or others.","Yes, because the text indicates a harm, which in this case is the Ebola disease, an extremely dangerous condition that could cause death.","Yes, because it refers to Ebola, a deadly infectious disease that poses significant harm and danger to people, indicating a hazardous situation."
48,#XenoAki N trying to destroy Noah ideal. Why does this make me thinks to fate so much ??? The parallel to Emiya is so strong,"No, because the text does not describe a hazard that could impose harm or other costs on the author of the tweet or on others.","No, because the text appears to be discussing a plot or character development in a narrative or story, not a real-world hazard that could impose harm or other costs on the author of the tweet or others.","No, because it appears to reference fictional characters and the destruction of an “ideal” in a story, not a real-world situation that would impose harm or costs on the author or others."
49,Most of the shadows of life are caused by standing in our own sunshine.  #衡水 #韶关 #黄石 #推特账号   xWnTvPsJ   https--//t.co/I8jCsD7mHT,"No, this text does not describe a hazard. It is a philosophical statement and does not imply harm or other costs to the author of the tweet or others.","No, because the text is metaphorical and philosophical in nature, not describing a hazard or harmful event that could pose harm or costs to the author of the tweet or others.","No, because it’s an inspirational quote with hashtags and a link, and it does not mention any harm, risk, or dangerous situation."
50,it had obloquies of Ricks in every https--//t.co/kSqKyDxItw reading it over I harvested the intelligence that said alleged Ricks #包养  #包养应聘,"No, because the text does not describe a hazard or something that could impose harm or other costs on the author of the tweet or on others.","No, because the tweet does not describe any immediate danger or threat that could result in harm or cost to the tweet's author or others. It appears to be a random statement that does not express or imply any hazard.","No, because the text is unclear and does not describe any specific harmful event, threat, or risk; it mostly includes vague phrasing and unrelated hashtags."
51,"If it wasn’t for my anxiety, I’d be trying to link up with everyone but yeah…","Yes, because the text describes emotional harm or distress to the author due to their anxiety.","Yes, because the text implies that the author's anxiety is a psychological hazard that prevents them from interacting with others.","Yes, because it describes the author’s anxiety limiting their social interactions, indicating a mental health issue that imposes a cost on the author."
52,"@chirilucky2 @againstgrmrs If kids do not go through with any “gender affirming care”, a massive percentage of them grow out of their gender dysphoria. Once they’ve committed to it and gone through with irreversible treatment, “detransitioning” wouldn’t really fix the damage they’ve done.","Yes, because the tweet describes a harm or other cost on individuals who may have undergone irreversible gender-affirming treatment.","Yes, because the text describes potential psychological and physical harm or other cost to the individuals undergoing irreversible treatment for gender dysphoria.","Yes, because it describes potential harm from irreversible medical treatments for minors, stating that such treatments can cause lasting damage that detransitioning would not fix."
53,"@comicbookaholic @Kaleigh1103 @Abdulshiekh619 No, athena did nothing to him. Every time he beat death he clawed himself out of hades on his own","No, because the text does not describe a hazard that could impose harm or other costs on the author of the tweet or on others.","No, because the text describes a fictional event or story with no real harm or cost to the author of the tweet or others.","No, because the text is discussing a mythological scenario (Athena, Hades) rather than a real-world situation that could impose harm or costs on the author or others."
54,@MrAlgolagnist @LouMill90 @WIAW18 So weird that they think it’s saying no we have a problem with lmao. We have a problem with concerted attacks on gay and trans rights. We are saying no to them and they don’t like that one but.,"Yes, because the text describes a harm or other cost on the author of the tweet or others. The mention of concerted attacks on gay and trans rights implies a potential hazard or harm to the LGBTQ+ community.","Yes, because the text describes a potential harm towards gay and trans rights, which could impose potential harm or costs on others.","Yes, because it describes “concerted attacks on gay and trans rights,” which implies harm and costs being imposed on those groups."
55,@atulharia @au_tom_otive No real harm is caused? https--//t.co/ypoyQXOLQl,"No, because the text does not describe a harm or other cost on the author of the tweet or on others.","No, because the text alone does not provide enough context to determine whether a harm or cost is being described. The embedded link could potentially contain hazardous information, but based on the tweet alone, there isn't enough to decisively classify it as describing a hazard.","No, because the tweet merely questions whether any harm is caused and does not describe a specific hazardous situation or harmful event."
56,@thehill @TheHillOpinion The Hill-- Actively amplifying chaos agents and undermining Democracy.  The press is complicit in their ineptitude.,"Yes, because the text describes harm or other costs on The Hill for being complicit in amplifying chaos agents and undermining democracy.","Yes, because the text describes a potential harm or cost on society at large, specifically undermining democracy through the amplifying of chaos agents.","Yes, because it alleges behavior that undermines democracy and information integrity, which constitutes a societal harm."
57,"In May, @TheEndoSociety launched the Oncoendocrinology Special Interest Group that will focus on #endocrine and metabolic consequences of non-endocrine cancers and their treatments. Read all about it and find out how you can join! https--//t.co/eXovFnZ5r3 https--//t.co/zGH3pAwfoV","No, because the text describes an event related to a medical society and does not mention any harm or significant cost to the author of the tweet or others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the tweet is an informational announcement about a new special interest group and does not describe a specific risky situation or harm occurring to the author or others. It mentions a research focus on consequences of cancers and treatments, but does not itself describe a hazard."
58,"A guy on Bumble told me that he's ""currently working on 6 novels"" like he's Stephen King...sir, please let me know when you finish one of these alleged novels","No, because the text does not describe a hazard that could impose harm or other costs on the author of the tweet or on others.","No, because the text describes a benign interaction where no harm or significant cost to the author of the tweet or others is suggested.","No, because it’s a humorous critique of someone’s claim on a dating app and doesn’t describe any risk, harm, or potential cost to the author or others."
59,Calls are raining in groupbullseye  Dont miss out this cyclecheck mark  We going to moonrocket right arrow https--//t.co/tEdSGx4WTu Grab your entriesmoney with wings  $OMG $UNI $UMA $POLC $TLM $COTI $SKL $KEEP https--//t.co/3EwLYeD6gs,"No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text talks about investing or trading in cryptocurrencies, which does not encompass a hazard or impose harm or significant cost on the author of the tweet or others. It also does not provide any information about dangerous events or situations.","No, because it’s a promotional message about cryptocurrency trades and hype, and it does not describe any specific harm, danger, or costly risk event. While trading can involve risk, the tweet itself doesn’t describe a hazard."
60,"So at the very least, just don't do what I did.""  Except he didn't want to talk about what he did. It was too shameful. It still is too shameful. Which meant if he was going to make anything easier for both Reggie and Newt in any capacity, it was something he'd have to confront.","No, because the text does not describe a hazard that could impose harm or other costs on the author of the tweet or on others.","Yes, because the text implies potential emotional or psychological harm that the author or others may encounter due to what he might have done in the past, and what he may have to confront now.","No, because the text is vague and does not describe any specific harmful event or risk; it only references shame about a past action without identifying a concrete hazard to the author or others."
61,"@beyond4now @DarrinZiliak @HarrisonKrank @JohnFetterman From Dr. Oz making a claim and someone following that claim. But here is just one example of a known death from homeopathy. https--//t.co/1YlAUye3ZD And nope. Not making shit up. Following the science bud. But typical gQp, not listening to science, experts, facts, etc.","Yes, because the text describes harm or potential harm from following homeopathic practices that have resulted in known deaths.","Yes, because the text describes potential harm from following certain claims in homeopathy, leading to death in some cases.","Yes, because it references a death from homeopathy tied to following a claim, indicating a risk of harm to people."
